order_id,user_id,page_id,product,site_version,time,title,target
cfcd208495d565ef66e7dff9f98764da,c81e728d9d4c2f636f067f89cc14862c,6f4922f45568161a8cdf4ad2299f6d23,sneakers,desktop,2019-01-11 09:24:43,banner_click,0
c4ca4238a0b923820dcc509a6f75849b,eccbc87e4b5ce2fe28308fd9f2a7baf3,4e732ced3463d06de0ca9a15b6153677,sneakers,desktop,2019-01-09 09:38:51,banner_show,0
c81e728d9d4c2f636f067f89cc14862c,eccbc87e4b5ce2fe28308fd9f2a7baf3,5c45a86277b8bf17bff6011be5cfb1b9,sports_nutrition,desktop,2019-01-09 09:12:45,banner_show,0
eccbc87e4b5ce2fe28308fd9f2a7baf3,eccbc87e4b5ce2fe28308fd9f2a7baf3,fb339ad311d50a229e497085aad219c7,company,desktop,2019-01-03 08:58:18,banner_show,0
a87ff679a2f3e71d9181a67b7542122c,eccbc87e4b5ce2fe28308fd9f2a7baf3,fb339ad311d50a229e497085aad219c7,company,desktop,2019-01-03 08:59:15,banner_click,0
e4da3b7fbbce2345d7772b0674a318d5,a87ff679a2f3e71d9181a67b7542122c,182be0c5cdcd5072bb1864cdee4d3d6e,sports_nutrition,mobile,2019-01-14 05:33:39,banner_show,0
1679091c5a880faf6fb5e6087eb1b2dc,e4da3b7fbbce2345d7772b0674a318d5,e369853df766fa44e1ed0ff613f563bd,sneakers,mobile,2019-03-02 15:10:16,banner_show,0
8f14e45fceea167a5a36dedd4bea2543,1679091c5a880faf6fb5e6087eb1b2dc,1c383cd30b7c298ab50293adfecb7b18,sneakers,desktop,2019-02-10 12:19:30,banner_show,0
c9f0f895fb98ab9159f51fd0297e236d,8f14e45fceea167a5a36dedd4bea2543,17e62166fc8586dfa4d1bc0e1742c08b,accessories,desktop,2019-02-06 05:21:08,banner_show,0
45c48cce2e2d7fbdea1afc51c7c6ad26,8f14e45fceea167a5a36dedd4bea2543,2ff279ece91cd2eaae06e449f5a20a0c,clothes,desktop,2019-01-24 10:36:13,banner_show,0
